"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Book API Test","1","0","Delete book with invalid ID","0"
"0","","0","Author API Test","1","0","Delete Author with invalid ID","0"
"0","","0","Author API Test","1","0","Create Author with missing fields","0"
"0","","0","Book API Test","1","0","Create book with missing fields","0"
"0","","0","Author API Test","1","0","Update an existing authorâ€™s details.","0"
"0","","0","Author API Test","1","0","Retrieve a list of all authors","0"
"0","","0","Book API Test","1","0","Get book with invalid ID","0"
"0","","0","Author API Test","1","0","Delete an author by their ID.","0"
"0","","0","Book API Test","1","0","Retrieve a list of all books","0"
"0","","0","Author API Test","1","0","Retrieve details of a specific author by their ID","0"
"0","","0","Book API Test","1","0","Delete a book by its ID.","0"
"0","","0","Book API Test","1","0","Retrieve details of a specific book by its ID.","0"
"0","","0","Book API Test","1","0","Update an existing book by its ID.","0"
"0","","0","Book API Test","1","0","Add a new book to the system","0"
"0","","0","Author API Test","1","0","Add a new author to the system","0"
"0","","0","Author API Test","1","0","Get Author with invalid ID","0"
